CMDLINE /Users/jsopkin/Library/Caches/pypoetry/virtualenvs/memory-leak-aQ-LIkNN-py3.11/bin/python flow.py
MEM 0.105469 1694027172.7380
MEM 24.132812 1694027172.8433
MEM 36.753906 1694027172.9485
MEM 49.750000 1694027173.0536
MEM 56.507812 1694027173.1587
MEM 62.867188 1694027173.2639
MEM 71.785156 1694027173.3690
MEM 79.878906 1694027173.4742
MEM 85.062500 1694027173.5794
MEM 88.988281 1694027173.6845
MEM 101.171875 1694027173.7897
MEM 109.726562 1694027173.8942
MEM 116.585938 1694027173.9994
MEM 121.128906 1694027174.1045
MEM 132.765625 1694027174.2097
MEM 137.523438 1694027174.3148
MEM 141.722656 1694027174.4199
MEM 146.820312 1694027174.5251
MEM 147.656250 1694027174.6300
MEM 147.871094 1694027174.7335
MEM 160.050781 1694027174.8353
MEM 160.054688 1694027174.9404
MEM 160.730469 1694027175.0434
MEM 166.332031 1694027175.1486
MEM 166.632812 1694027175.2539
MEM 166.632812 1694027175.3593
MEM 166.632812 1694027175.4600
MEM 166.632812 1694027175.5635
MEM 166.632812 1694027175.6692
MEM 166.632812 1694027175.7749
MEM 166.632812 1694027175.8804
MEM 166.632812 1694027175.9861
MEM 166.632812 1694027176.0919
MEM 167.289062 1694027176.1945
MEM 162.738281 1694027176.2997
MEM 162.765625 1694027176.4048
MEM 162.769531 1694027176.5099
MEM 162.773438 1694027176.6147
MEM 162.773438 1694027176.7198
MEM 162.992188 1694027176.8229
MEM 165.359375 1694027176.9253
MEM 165.351562 1694027177.0285
MEM 165.347656 1694027177.1307
MEM 165.347656 1694027177.2368
MEM 165.347656 1694027177.3420
MEM 165.347656 1694027177.4438
MEM 165.347656 1694027177.5456
MEM 165.347656 1694027177.6505
MEM 177.832031 1694027177.7542
MEM 177.835938 1694027177.8593
MEM 178.285156 1694027177.9599
MEM 178.484375 1694027178.0658
MEM 178.605469 1694027178.1663
MEM 178.671875 1694027178.2717
MEM 178.816406 1694027178.3738
MEM 178.910156 1694027178.4759
MEM 179.902344 1694027178.5812
MEM 180.843750 1694027178.6865
MEM 181.082031 1694027178.7919
MEM 181.140625 1694027178.8955
MEM 181.980469 1694027178.9985
MEM 181.980469 1694027179.1019
MEM 181.984375 1694027179.2072
MEM 182.019531 1694027179.3110
MEM 182.019531 1694027179.4156
MEM 182.019531 1694027179.5170
MEM 182.066406 1694027179.6180
MEM 182.156250 1694027179.7188
MEM 182.980469 1694027179.8239
MEM 182.964844 1694027179.9291
MEM 183.078125 1694027180.0335
MEM 183.253906 1694027180.1340
MEM 184.246094 1694027180.2376
MEM 185.351562 1694027180.3392
MEM 185.664062 1694027180.4414
MEM 185.921875 1694027180.5427
MEM 186.390625 1694027180.6431
MEM 188.562500 1694027180.7484
MEM 188.812500 1694027180.8518
MEM 187.687500 1694027180.9572
MEM 188.000000 1694027181.0588
MEM 188.308594 1694027181.1636
MEM 188.085938 1694027181.2667
MEM 188.085938 1694027181.3677
MEM 146.863281 1694027181.4689
MEM 146.863281 1694027181.5735
MEM 146.863281 1694027181.6791
MEM 154.179688 1694027181.7870
MEM 154.179688 1694027181.8922
MEM 154.226562 1694027181.9950
MEM 154.226562 1694027182.1015
MEM 154.226562 1694027182.2061
MEM 154.226562 1694027182.3073
MEM 154.226562 1694027182.4098
MEM 154.226562 1694027182.5126
MEM 147.375000 1694027182.6151
MEM 147.375000 1694027182.7203
MEM 145.695312 1694027182.8228
MEM 145.695312 1694027182.9262
MEM 145.695312 1694027183.0295
MEM 145.441406 1694027183.1336
MEM 145.441406 1694027183.2363
MEM 145.441406 1694027183.3393
MEM 145.441406 1694027183.4434
MEM 145.425781 1694027183.5474
MEM 145.312500 1694027183.6522
MEM 145.312500 1694027183.7571
MEM 149.261719 1694027183.8622
MEM 149.261719 1694027183.9665
MEM 149.261719 1694027184.0670
MEM 149.261719 1694027184.1722
MEM 149.261719 1694027184.2747
MEM 149.261719 1694027184.3793
MEM 149.261719 1694027184.4846
MEM 149.261719 1694027184.5900
MEM 149.261719 1694027184.6953
MEM 153.214844 1694027184.7997
MEM 153.214844 1694027184.9050
MEM 153.214844 1694027185.0104
MEM 153.214844 1694027185.1118
MEM 153.214844 1694027185.2157
MEM 153.214844 1694027185.3199
MEM 153.214844 1694027185.4248
MEM 153.214844 1694027185.5262
MEM 153.214844 1694027185.6307
MEM 153.214844 1694027185.7355
MEM 155.246094 1694027185.8403
MEM 155.246094 1694027185.9458
MEM 155.246094 1694027186.0509
MEM 155.246094 1694027186.1563
MEM 155.246094 1694027186.2617
MEM 155.050781 1694027186.3641
MEM 155.050781 1694027186.4699
MEM 155.050781 1694027186.5753
MEM 155.050781 1694027186.6774
MEM 155.074219 1694027186.7826
MEM 155.105469 1694027186.8879
MEM 155.324219 1694027186.9931
MEM 155.324219 1694027187.0963
MEM 155.324219 1694027187.2015
MEM 155.324219 1694027187.3024
MEM 155.324219 1694027187.4030
MEM 155.324219 1694027187.5078
MEM 155.324219 1694027187.6083
MEM 155.324219 1694027187.7095
MEM 155.343750 1694027187.8103
MEM 155.343750 1694027187.9157
MEM 155.343750 1694027188.0211
MEM 155.343750 1694027188.1221
MEM 155.343750 1694027188.2275
MEM 155.343750 1694027188.3302
MEM 155.343750 1694027188.4307
MEM 155.343750 1694027188.5352
MEM 155.343750 1694027188.6385
MEM 155.343750 1694027188.7392
MEM 155.410156 1694027188.8403
MEM 155.410156 1694027188.9456
MEM 155.410156 1694027189.0465
MEM 155.410156 1694027189.1511
MEM 155.410156 1694027189.2543
MEM 155.410156 1694027189.3555
MEM 155.730469 1694027189.4590
MEM 155.730469 1694027189.5642
MEM 155.730469 1694027189.6648
MEM 155.796875 1694027189.7652
MEM 159.167969 1694027189.8705
MEM 159.167969 1694027189.9745
MEM 159.167969 1694027190.0785
MEM 159.203125 1694027190.1824
MEM 159.203125 1694027190.2876
MEM 159.203125 1694027190.3928
MEM 159.203125 1694027190.4953
MEM 159.230469 1694027190.6005
MEM 159.230469 1694027190.7044
MEM 159.269531 1694027190.8090
MEM 159.296875 1694027190.9142
MEM 159.296875 1694027191.0198
MEM 159.296875 1694027191.1231
MEM 159.296875 1694027191.2273
MEM 159.296875 1694027191.3325
MEM 159.296875 1694027191.4346
MEM 159.296875 1694027191.5357
MEM 159.296875 1694027191.6368
MEM 159.312500 1694027191.7394
MEM 161.152344 1694027191.8403
MEM 161.152344 1694027191.9432
MEM 161.152344 1694027192.0438
MEM 161.152344 1694027192.1494
MEM 160.289062 1694027192.2543
MEM 160.289062 1694027192.3575
MEM 160.289062 1694027192.4620
MEM 160.289062 1694027192.5677
MEM 160.289062 1694027192.6693
MEM 160.289062 1694027192.7721
MEM 160.320312 1694027192.8770
MEM 160.320312 1694027192.9823
MEM 160.324219 1694027193.0875
MEM 160.324219 1694027193.1927
MEM 160.324219 1694027193.2976
MEM 160.324219 1694027193.4026
MEM 160.324219 1694027193.5067
MEM 160.324219 1694027193.6092
MEM 160.324219 1694027193.7141
MEM 160.324219 1694027193.8194
MEM 162.917969 1694027193.9209
MEM 162.917969 1694027194.0237
MEM 162.917969 1694027194.1278
MEM 162.917969 1694027194.2330
MEM 162.917969 1694027194.3381
MEM 162.546875 1694027194.4434
MEM 162.546875 1694027194.5485
MEM 162.546875 1694027194.6537
MEM 162.546875 1694027194.7588
MEM 162.562500 1694027194.8634
MEM 162.562500 1694027194.9677
MEM 162.562500 1694027195.0693
MEM 162.566406 1694027195.1702
MEM 162.566406 1694027195.2709
MEM 162.566406 1694027195.3738
MEM 162.566406 1694027195.4749
MEM 162.566406 1694027195.5804
MEM 162.566406 1694027195.6820
MEM 162.566406 1694027195.7840
MEM 163.398438 1694027195.8859
MEM 163.398438 1694027195.9910
MEM 163.398438 1694027196.0963
MEM 163.414062 1694027196.2013
MEM 163.417969 1694027196.3015
MEM 163.417969 1694027196.4035
MEM 163.417969 1694027196.5087
MEM 163.433594 1694027196.6120
MEM 163.433594 1694027196.7127
MEM 163.433594 1694027196.8147
MEM 164.292969 1694027196.9188
MEM 164.304688 1694027197.0226
MEM 164.304688 1694027197.1278
MEM 164.304688 1694027197.2330
MEM 164.304688 1694027197.3382
MEM 164.304688 1694027197.4437
MEM 164.304688 1694027197.5470
MEM 164.304688 1694027197.6476
MEM 164.304688 1694027197.7503
MEM 164.308594 1694027197.8540
MEM 165.152344 1694027197.9560
MEM 165.152344 1694027198.0613
MEM 165.152344 1694027198.1651
MEM 165.152344 1694027198.2663
MEM 165.152344 1694027198.3715
MEM 165.152344 1694027198.4770
MEM 165.152344 1694027198.5790
MEM 165.152344 1694027198.6808
MEM 165.152344 1694027198.7860
MEM 165.156250 1694027198.8912
MEM 165.156250 1694027198.9960
MEM 165.156250 1694027199.1007
MEM 165.156250 1694027199.2053
MEM 165.156250 1694027199.3073
MEM 165.156250 1694027199.4124
MEM 165.156250 1694027199.5153
MEM 165.156250 1694027199.6207
MEM 165.156250 1694027199.7229
MEM 165.156250 1694027199.8243
MEM 165.156250 1694027199.9295
MEM 165.156250 1694027200.0338
MEM 165.156250 1694027200.1345
MEM 165.156250 1694027200.2397
MEM 165.175781 1694027200.3446
MEM 165.175781 1694027200.4497
MEM 164.269531 1694027200.5549
MEM 164.269531 1694027200.6601
MEM 164.281250 1694027200.7626
MEM 164.281250 1694027200.8651
MEM 164.281250 1694027200.9679
MEM 164.281250 1694027201.0730
MEM 164.281250 1694027201.1780
MEM 164.281250 1694027201.2804
MEM 164.281250 1694027201.3857
MEM 164.281250 1694027201.4912
MEM 164.281250 1694027201.5947
MEM 164.281250 1694027201.6958
MEM 164.281250 1694027201.8013
MEM 166.054688 1694027201.9034
MEM 166.054688 1694027202.0087
MEM 166.054688 1694027202.1092
MEM 166.093750 1694027202.2095
MEM 166.093750 1694027202.3147
MEM 166.109375 1694027202.4199
MEM 166.109375 1694027202.5251
MEM 166.128906 1694027202.6282
MEM 166.128906 1694027202.7333
MEM 166.148438 1694027202.8384
MEM 166.148438 1694027202.9427
MEM 166.148438 1694027203.0457
MEM 166.148438 1694027203.1502
MEM 166.148438 1694027203.2555
MEM 166.148438 1694027203.3576
MEM 166.148438 1694027203.4618
MEM 166.148438 1694027203.5674
MEM 166.148438 1694027203.6693
MEM 166.148438 1694027203.7744
MEM 166.148438 1694027203.8799
MEM 166.179688 1694027203.9850
MEM 166.179688 1694027204.0903
MEM 166.179688 1694027204.1951
MEM 166.179688 1694027204.3003
MEM 166.179688 1694027204.4056
MEM 166.179688 1694027204.5079
MEM 166.179688 1694027204.6108
MEM 166.179688 1694027204.7163
MEM 166.179688 1694027204.8213
MEM 166.847656 1694027204.9225
MEM 166.847656 1694027205.0279
MEM 166.847656 1694027205.1325
MEM 166.847656 1694027205.2377
